A-320-200;TC-DCG;13684791;2023-04-14T20:55:00;SAW;TBZ;INTERNATIONAL;508;1162;2
A321-200;TC-RBB;13683683;2023-05-06T23:50:00;CIT;SAW;INTERNATIONAL;225;2292;2
A-320-186;TC-NBM;12473045;2023-04-21T08:55:00;ZRH;AYT;INTERNATIONAL;5028;508;2
A-320-186;TC-NBV;12476923;2023-05-01T00:20:00;CGN;AYT;INTERNATIONAL;5004;508;1
A-320-186;TC-NBV;12476923;2023-05-01T00:20:00;CGN;AYT;INTERNATIONAL;5004;1204;2
A-320-186;TC-NCO;13727601;2023-05-30T15:35:00;DIY;ECN;INTERNATIONAL;1952;1204;5
A-320-186;TC-NCO;13727601;2023-05-30T15:35:00;DIY;ECN;INTERNATIONAL;1952;290;3
A-320-186;TC-NCF;12469168;2023-04-08T09:50:00;BRE;AYT;INTERNATIONAL;5060;485;5
A-320-186;TC-NCF;12469168;2023-04-08T09:50:00;BRE;AYT;INTERNATIONAL;5060;1162;5
A-320-186;TC-NCF;12469168;2023-04-08T09:50:00;BRE;AYT;INTERNATIONAL;5060;508;5
A-320-186;TC-NCF;12469168;2023-04-08T09:50:00;BRE;AYT;INTERNATIONAL;5060;1157;5
A-320-186;TC-NCC;13710302;2023-04-21T15:00:00;DME;SAW;INTERNATIONAL;387;1159;3
A-320-186;TC-NBC;12469905;2023-04-12T17:35:00;BSL;AYT;INTERNATIONAL;5054;352;2
A321-200;TC-RBP;13683730;2023-05-05T11:30:00;DUS;SAW;INTERNATIONAL;1002;613;5
A321-200;TC-RBT;13669427;2023-05-07T13:40:00;STN;SAW;INTERNATIONAL;1162;613;3
B737-800;TC-CPZ;13657561;2023-04-21T00:40:00;BGW;SAW;INTERNATIONAL;657;1162;2
B737-800;TC-CPZ;13657561;2023-04-21T00:40:00;BGW;SAW;INTERNATIONAL;657;613;2
B737-800;TC-CPZ;13657561;2023-04-21T00:40:00;BGW;SAW;INTERNATIONAL;657;1204;2
A-320-186;TC-NBU;12468772;2023-04-29T07:25:00;BER;AYT;INTERNATIONAL;5068;190;2
A321-200;TC-RBO;12105318;2023-03-15T10:35:00;CRL;SAW;INTERNATIONAL;802;613;2
A-320-186;TC-NBB;13740860;2023-04-14T12:20:00;GVA;SAW;INTERNATIONAL;954;450;4
A321-200;TC-RDA;13718128;2023-05-07T15:45:00;BSL;SAW;INTERNATIONAL;942;2292;5
A-320-186;TC-NCF;13760114;2023-05-01T11:10:00;ECN;SAW;INTERNATIONAL;1917;1204;6
A-320-186;TC-NBC;13759911;2023-10-09T03:05:00;ESB;AYT;DOMESTIC;8040;489;1
A-320-186;TC-NBC;12470969;2023-05-30T17:35:00;HAM;AYT;INTERNATIONAL;5042;613;2
A-320-186;TC-NBR;12469138;2023-05-30T11:55:00;BRE;AYT;INTERNATIONAL;5060;613;4
A-320-186;TC-NBR;12469138;2023-05-30T11:55:00;BRE;AYT;INTERNATIONAL;5060;1162;4
B737-800;TC-CPD;13739360;2023-05-09T19:35:00;SAW;SHJ;INTERNATIONAL;746;1162;1
A321-200;TC-RDA;13701628;2023-09-03T12:20:00;STR;SAW;INTERNATIONAL;970;725;5
A321-200;TC-RBI;13759064;2023-04-21T11:15:00;BER;SAW;INTERNATIONAL;980;1162;3
A-320-186;TC-NCH;12472303;2023-05-01T09:15:00;MUC;AYT;INTERNATIONAL;5032;508;4
